PostcodeA,PostcodeB,Distance,Group
2275,7333,0.03276150973354661,2008
2282,2523,0.050763024513747104,2008
6641,8243,0.05303946407576601,2008
1421,4003,0.0824061471682122,2008
6686,7038,0.08752753331671757,2008
6521,8172,0.08884709361135464,2008
2645,3822,0.09404627910041408,2008
6541,6833,0.0957295907054215,2008
3852,6956,0.10970509467704115,2008
1273,1781,0.1235456242347098,2008
1335,3643,0.1260261674898598,2008
7211,9871,0.1328728516936555,2008
1834,3252,0.13743184826736254,2008
2317,8244,0.13790212765555127,2008
1713,2211,0.14242409680193652,2008
7161,9067,0.16066513049184145,2008
2254,7036,0.18048240773656513,2008
1778,3084,0.18268813644888543,2008
2572,2983,0.18622959180035265,2008
6541,9134,0.19240130135883848,2008
1676,9233,0.19250106527206923,2008
1075,1911,0.19433769076315305,2008
2991,3291,0.2125389380089464,2008
2901,2954,0.21590328781192575,2008
2513,6825,0.21715913173835064,2008
2851,6961,0.22077504251177277,2008
2964,4147,0.22172097466792082,2008
1356,7205,0.2250972497541341,2008
3045,3861,0.22972471764855362,2008
1033,1186,0.2317677553755367,2008
4223,8445,0.23577988674294514,2008
3732,7041,0.24469768324842125,2008
6605,6714,0.25051165746722864,2008
1521,6852,0.2647291490855881,2008
3035,6605,0.2650272086305515,2008
1906,7335,0.26545454794916507,2008
6833,9134,0.2869066391895789,2008
3055,9284,0.2914487202025073,2008
1757,6709,0.29308663015655956,2008
2015,9261,0.29634458711890643,2008
1243,5325,0.30122293907075537,2008
5335,7234,0.3033179812012005,2008
1964,3765,0.3164067549431941,2008
2516,6534,0.3221290315213639,2008
3361,3862,0.32940518057250884,2008
1391,6996,0.3388082738316988,2008
1037,7006,0.34404035689722784,2008
3904,7323,0.34794904973055374,2008
2161,4191,0.3527997656711121,2008
1121,2042,0.35451329763729383,2008
6104,8536,0.05564725229803796,2009
5807,8151,0.06216526378048875,2009
2984,6911,0.0665710553649676,2009
6077,7582,0.07758117681468935,2009
7824,9745,0.09186468671022073,2009
2728,3263,0.09544610233263565,2009
1241,6268,0.09888590622533774,2009
1755,8451,0.09981539679897498,2009
5012,7523,0.10000738790312233,2009
1674,7442,0.10184326152557965,2009
6132,9983,0.11329608939204093,2009
3911,5296,0.11843055131058546,2009
6181,8517,0.12280112291079642,2009
9163,9411,0.12818564484106756,2009
5241,8611,0.13668376958726036,2009
7231,9008,0.13968944473013364,2009
1851,9619,0.1398311142758187,2009
6041,6562,0.14701456909549485,2009
3205,3353,0.14990936783377254,2009
2723,3065,0.15208097127304643,2009
6665,9862,0.15603659719850027,2009
6582,8312,0.16072396774323353,2009
1873,7542,0.16768326884068463,2009
1451,8441,0.16897659876088408,2009
1931,2253,0.17273269765315036,2009
1566,2959,0.17385083150451122,2009
9533,9937,0.1762314919606589,2009
1751,6086,0.18034316857844288,2009
1444,3042,0.18084508745387987,2009
5924,6112,0.18131426734961292,2009
4161,6004,0.18189625509468202,2009
1674,6365,0.18413456704484307,2009
1187,1339,0.19088736222750854,2009
1861,8094,0.1953468671637802,2009
1777,8556,0.19584887160647269,2009
7841,8024,0.19916607267443903,2009
6365,7442,0.20151329971104412,2009
6071,7582,0.2063380060349729,2009
4132,8715,0.2148014999587794,2009
1832,8493,0.22110589575376513,2009
6562,6591,0.22198395999556106,2009
2912,3438,0.22303983933521807,2009
6431,9056,0.22406754172849155,2009
9044,9902,0.22502394248981558,2009
3738,5981,0.2263858013645708,2009
6155,9262,0.2316494072787037,2009
1826,4205,0.243246362948408,2009
5555,8102,0.24341755322762615,2009
3311,6215,0.25027584852534673,2009
2571,3077,0.25189411558213415,2009
3056,6005,0.03903411724246844,2010
2481,7411,0.05115473511708037,2010
2971,8042,0.060443503274206146,2010
1403,1784,0.060680681966086385,2010
7522,9281,0.06130532688068121,2010
2725,7422,0.0615432173574013,2010
4205,9407,0.06355980984405146,2010
3861,8574,0.07649083237675841,2010
1973,7412,0.08844983957357319,2010
6215,7002,0.08874292510889457,2010
2728,3263,0.09544610233263565,2010
4124,7811,0.09955555612565718,2010
2921,3227,0.0998700811590863,2010
6471,6587,0.10067903203542485,2010
1171,1934,0.12060528381146313,2010
2652,3145,0.12290422020453336,2010
2034,3201,0.12495175566835322,2010
3892,3903,0.13664851868003083,2010
1135,9244,0.14187210893734112,2010
3824,8805,0.1423457733864271,2010
1601,8242,0.14251773810031151,2010
1182,5351,0.14783725440833795,2010
1034,2516,0.14900349902081234,2010
2911,3203,0.15053677539582888,2010
1106,1974,0.17290269289692947,2010
1273,3381,0.17294383211270367,2010
3084,4001,0.1733556877723646,2010
2405,3436,0.17553778080253873,2010
1243,1775,0.17608152780229902,2010
1187,2725,0.1778497396118937,2010
7433,9405,0.17893487408573575,2010
5213,8032,0.18025744146106568,2010
2341,9245,0.18559314583366351,2010
9108,9774,0.1857308478191679,2010
1951,9495,0.18590520798188506,2010
7546,7938,0.1898151906612286,2010
1695,5392,0.19084386810772455,2010
4147,8451,0.1908478171456299,2010
6075,7051,0.20396197994414994,2010
2172,6049,0.20617830870448245,2010
6904,8224,0.20752849138086382,2010
1757,4874,0.2092182271430097,2010
3755,8274,0.2106393754010231,2010
6268,9287,0.2107756336483823,2010
2242,9515,0.2125818527881742,2010
2065,7113,0.21813719153819852,2010
1187,7422,0.21893539744850046,2010
7326,8502,0.22356245912256512,2010
2525,3063,0.22438742069106418,2010
1394,8517,0.23303035828606178,2010
3945,4793,0.025638028860434574,2011
6227,7521,0.026768187855987575,2011
6904,8015,0.02902337919081505,2011
2191,8388,0.05033314290538024,2011
3534,3731,0.05586824373648607,2011
1382,3203,0.05905543394225601,2011
1684,1841,0.07215588572680169,2011
3553,6822,0.08237887648399131,2011
