PostcodeA,PostcodeB,Distance,Group
4751,5963,0.00020242914979462512,2009
5963,9053,0.00020242914979462512,2009
1244,6596,0.00024281274284021492,2009
2322,5342,0.00024591776508486873,2009
2312,3441,0.0002516040491258309,2009
6988,9524,0.00029325513196454267,2009
6171,9566,0.00029411764705855603,2009
3371,3896,0.0003293807641711055,2009
5913,9175,0.00034745922644674465,2009
6673,8523,0.0003607503607554463,2009
2665,5345,0.0003764351590405113,2009
6041,6704,0.00039121553278675947,2009
7885,9148,0.0003918495297909885,2009
5022,9207,0.00043530129143221075,2009
6626,7429,0.00045248868775615847,2009
2161,9912,0.00045638945232440165,2009
5866,7245,0.00046296296295622597,2009
2267,9886,0.00047520882415597043,2009
6582,8051,0.0004901960784309267,2009
1352,9047,0.000512820512824419,2009
2012,9672,0.0005239342700633642,2009
8435,9071,0.0005244755245144006,2009
3112,6544,0.0005250279849633444,2009
1622,3961,0.0005411255411331695,2009
1442,3403,0.0005630630630690803,2009
2511,6215,0.0005824817411905769,2009
8101,9933,0.0005952380952436442,2009
3931,7101,0.0006503837115729993,2009
3947,7555,0.000658761528342211,2009
2562,6652,0.0006694476319069054,2009
8759,9367,0.0007309941520361463,2009
1851,9696,0.000759484375734587,2009
1657,2907,0.0007629331555421004,2009
1862,4855,0.0007632438940419206,2009
2211,4194,0.0007924248647270815,2009
2281,9166,0.0007936507936392445,2009
1541,2481,0.0007936507936534554,2009
3212,8231,1.4210854715202004e-14,2010
5258,5473,1.4210854715202004e-14,2010
4063,6123,2.842170943040401e-14,2010
4151,5768,2.842170943040401e-14,2010
3089,4207,8.658008657391747e-05,2010
3444,9624,0.00012331320320413397,2010
9079,9084,0.0001265182186216407,2010
2322,5347,0.0001382998340488939,2010
6153,6371,0.00016233766233142433,2010
2241,4112,0.00016722408025771074,2010
3075,8489,0.00020678246484351348,2010
7113,8567,0.00022281639927257402,2010
3295,3552,0.00026837324524819905,2010
4885,8486,0.0002923976608144585,2010
1506,5281,0.00029999400011604394,2010
6019,8633,0.0003224974200293218,2010
3571,9001,0.00037160906724409415,2010
1536,1871,0.00037921659544792874,2010
