PostcodeA,PostcodeB,Distance,Group
7008,8051,0.0010335766585569672,2009
1043,8337,0.0010560032886814952,2009
1973,3205,0.001073455965837411,2009
2266,6461,0.0010822510822379172,2009
8451,8525,0.0010916011700317085,2009
1619,4191,0.001108540582237083,2009
1214,6369,0.0011363636363626028,2009
8225,9008,0.0011363636363626028,2009
1446,9296,0.001168877028078441,2009
8448,8627,0.0011838626253108941,2009
6223,8191,0.001218302875770405,2009
4212,5347,0.0012340882278749632,2009
8427,9541,0.0012471175113830668,2009
5133,9026,0.0012515037741991364,2009
1035,9964,2.842170943040401e-14,2010
3421,5682,2.842170943040401e-14,2010
5374,5581,2.842170943040401e-14,2010
6914,9845,2.842170943040401e-14,2010
9321,9752,2.842170943040401e-14,2010
3233,6436,3.6251450040936106e-05,2010
3271,5143,0.00010101010101948305,2010
3701,6109,0.0001166637500489287,2010
1354,2969,0.0002330330644042533,2010
6227,8244,0.00029485478401625187,2010
1792,5374,0.0003022061045214741,2010
1792,5581,0.0003022061045498958,2010
1774,3985,0.0003135451505045239,2010
1186,3845,0.0003496901155699561,2010
1744,8624,0.00038235818979615033,2010
1686,8263,0.00042915526444176066,2010
3905,9615,0.0004507550146399808,2010
1357,5306,0.0004658385093136985,2010
2408,5709,0.0005016722408015539,2010
7827,8926,0.0005175983436913612,2010
1231,8567,0.0005443616458649103,2010
2565,9201,0.0005509436625743547,2010
1352,6942,0.0005744371196669817,2010
2235,7891,0.0006265664160594042,2010
6222,9915,0.0006535947712507095,2010
1132,5253,0.0006684491978603546,2010
4754,5505,0.0006944444444627607,2010
2013,5025,0.0007002801120563618,2010
7325,8715,0.0007214401166777407,2010
4772,9968,0.0007215007215108926,2010
1141,5366,0.0008009153318084827,2010
3921,9665,0.0008037628006718478,2010
2465,6624,0.0008137494239974785,2010
4622,6598,0.0008185139233773953,2010
3264,5341,0.0008260000888924424,2010
7543,9677,0.0008511309662253552,2010
3467,8252,0.0008679870590810879,2010
2101,8615,0.0008981659229334582,2010
1624,2014,0.0009147199549488505,2010
2587,5575,0.0009224695437239916,2010
9261,9649,0.0009439361223542164,2010
1353,1834,0.0009469696969688357,2010
1633,9616,0.0009746588694099501,2010
5103,8051,0.0010115157173800071,2010
2021,9734,0.0010319917440710924,2010
5863,7233,0.0010434524217544094,2010
3834,7831,0.001086048454453703,2010
2224,3257,0.0011001584228154115,2010
1188,5943,0.0011296125847479743,2010
3524,9086,0.0011481906737174086,2010
2632,7812,2.842170943040401e-14,2011
2961,7812,2.842170943040401e-14,2011
7844,9645,2.842170943040401e-14,2011
8856,9479,5.684341886080802e-14,2011
4614,9688,4.85625485566743e-05,2011
5063,6869,0.00018667074553491148,2011
6447,9041,0.00023250406883335017,2011
5165,8459,0.00023899522011561203,2011
3125,8378,0.0002662434750959619,2011
1312,3421,0.0002891844997066073,2011
4631,8625,0.0003373819163527969,2011
6374,8044,0.00035014005601397,2011
1024,8924,0.0003607503607554463,2011
1815,8244,0.00036549707601807313,2011
9064,9774,0.0004143237026710267,2011
6153,8171,0.00042625745948043914,2011
1657,8749,0.00043859649122168776,2011
3059,6464,0.000452592851843292,2011
6881,8019,0.0004901960784309267,2011
3051,5045,0.0005291005291212514,2011
3971,9656,0.0006191950465108675,2011
2967,5501,0.0006270903010090478,2011
1081,3524,0.0006273255856115156,2011
3994,7102,0.0006484354736642217,2011
1446,4651,0.000658761528342211,2011
1661,8765,0.000665895083812984,2011
8392,8412,0.0006706038659558544,2011
2391,2831,0.000727487354765799,2011
3772,5122,0.0007590584044976367,2011
1738,8745,0.0008482445801405447,2011
2451,9038,0.0008806982491478266,2011
1723,1829,0.0008966287275029572,2011
2995,5431,0.0009057971014669874,2011
2318,7329,0.0009090616370599491,2011
1906,2245,0.0009538094688537058,2011
7931,8536,0.0009549274254823104,2011
1782,6833,0.0009831885646747196,2011
4184,9111,0.0010899365197474253,2011
4904,7331,0.0011375406264733101,2011
1744,4854,0.0012126952663891188,2011
