PostcodeA,PostcodeB,Distance,Group
1794,7215,2.7367668749889162e-05,2008
6941,7045,4.607795429478756e-05,2008
3113,9283,5.678591614355355e-05,2008
1501,3514,8.122183264447358e-05,2008
1746,6871,0.00011925075612850833,2008
3615,6551,0.00012956942322261966,2008
3114,6707,0.00015516342995169907,2008
2315,6535,0.00021189483126704545,2008
2215,6541,0.0002258675582709202,2008
3851,6916,0.00023778957765330233,2008
2628,3572,0.00026230608824562296,2008
1428,3171,0.0002930239157876713,2008
6902,9851,0.00029993244567094735,2008
3114,8052,0.0003243585059351517,2008
2712,7323,0.0003698751805814027,2008
1645,3981,0.0003883077008595137,2008
2324,3081,0.0003919627482531496,2008
6835,6984,0.0004590024010298066,2008
1734,6924,0.00046662001051345214,2008
6707,8052,0.00047952193588685077,2008
1754,1861,0.0004923911394030256,2008
2596,3464,0.0005000878622922755,2008
2465,3712,0.0005112218289440307,2008
1135,8096,0.0005196356933652169,2008
1793,5325,0.0005305073352985801,2008
4005,4194,0.0005382321507028109,2008
4051,9233,0.0006888088366849843,2008
3815,6845,0.0006951774377625952,2008
3515,6714,0.0007191087723299461,2008
1648,6982,0.0008600032022911819,2008
1462,8409,0.0008751729611020664,2008
1661,6871,0.00088781603895427,2008
1183,3521,0.0009017057258233763,2008
1361,3135,0.0009225829186760848,2008
1723,8251,0.0009249214011077811,2008
1619,6745,0.0009280021986626252,2008
5301,6662,0.000937992756831818,2008
1506,6577,0.0009463078954468074,2008
1614,7121,0.0009499987602055171,2008
1661,1746,0.0010070667950827783,2008
1473,8097,0.001044505507792337,2008
3891,3984,0.001052179364862127,2008
2561,3043,0.0011460296827436878,2008
2116,9255,0.001184640648432378,2008
7105,9132,0.001188120714687102,2008
2525,3573,0.0012484800135581509,2008
2025,6512,0.0012900953314982644,2008
2632,6961,0.0013028590905292958,2008
2264,6652,0.00131365229285052,2008
2573,3262,0.0013146822177816375,2008
8084,9616,3.644661995849674e-05,2009
6099,7581,5.751788057750673e-05,2009
4208,8422,5.779509749004319e-05,2009
2441,6445,6.242820937529814e-05,2009
7064,7546,6.68119908624476e-05,2009
6704,9108,7.420926448276077e-05,2009
8111,8311,9.484303384965642e-05,2009
9447,9673,0.00013947171257200353,2009
7547,9012,0.00015640511628589593,2009
8312,9178,0.0001744172719497783,2009
6658,9113,0.00017889427843442718,2009
3959,6269,0.0001873177240838686,2009
2013,5921,0.0001883689495798535,2009
4014,7825,0.00020988181898928815,2009
1738,2311,0.00021866958508098833,2009
7271,8506,0.00022189848363041165,2009
1017,9983,0.00024129944073081333,2009
2103,6141,0.00025900404773437913,2009
2922,3295,0.00027175826174641315,2009
1768,4811,0.000277253722487103,2009
5246,6988,0.0002935840689133329,2009
1191,1778,0.0002991415840654099,2009
8212,9432,0.0003109058520749386,2009
6051,9062,0.00033727811000971997,2009
3449,3774,0.00035171690871038663,2009
3843,3848,0.0003567552782186567,2009
6101,9581,0.0003604500931828625,2009
3055,8181,0.000361777189169743,2009
7482,9113,0.0003641315258846589,2009
4772,5552,0.00037336143982713565,2009
2396,4771,0.00038233018170785726,2009
7541,9302,0.0003910143977066127,2009
2713,8758,0.00039663972543735326,2009
2376,3911,0.00040839036962836417,2009
2355,6112,0.00042079431349861807,2009
2514,8572,0.0004244904877737099,2009
3871,9934,0.00045930534612637075,2009
1541,3925,0.00047743611058592705,2009
3847,8415,0.0004805541974519656,2009
1052,2286,0.0004840953780060886,2009
1948,3466,0.0004886340455954041,2009
8102,8172,0.0004924927652893984,2009
2251,8494,0.0005027417513758792,2009
6905,9313,0.0005141042172169819,2009
3582,9299,0.0005223612768787689,2009
6523,7107,0.0005261428293010795,2009
7431,9684,0.0005316063246993963,2009
4121,8172,0.0005317991847419989,2009
5047,9947,0.0005425902244837744,2009
6658,7482,0.0005430258043190861,2009
2989,6909,2.680840026414444e-06,2010
1432,6121,1.419632508259383e-05,2010
2952,7039,1.6544859860800898e-05,2010
1681,6621,1.751051829046446e-05,2010
6644,9766,2.7111692133985343e-05,2010
3435,8722,6.677248826747473e-05,2010
1731,9406,8.132289640627732e-05,2010
4223,6882,8.133542591792775e-05,2010
7255,8701,9.466660239354496e-05,2010
3381,6533,0.00010713879714785435,2010
3241,3256,0.000135922838182978,2010
1252,8539,0.00014396824050777468,2010
1041,2151,0.00018547245312561245,2010
5275,9263,0.00020158853081397865,2010
7315,8584,0.00021352528446527685,2010
1671,4141,0.0002215462532149104,2010
1631,6613,0.00023253075838169934,2010
1751,3947,0.00023302172414219058,2010
6107,6155,0.00025849978575820387,2010
7031,9064,0.0002603214726946135,2010
4171,6133,0.0002635024128778696,2010
3912,7823,0.00026433714778306694,2010
6986,9233,0.0002652024785163576,2010
2245,6883,0.00028162836650835743,2010
1404,9215,0.0003005175231294288,2010
1486,2351,0.00030118736519568756,2010
2513,5172,0.00031115085361932415,2010
8854,9131,0.0003130899357870476,2010
6454,6471,0.0003139083375174323,2010
3742,6651,0.00031795728642691756,2010
7001,9108,0.0003211227886481538,2010
6691,7481,0.00032174691928332777,2010
7531,9761,0.00033097582189611785,2010
3511,6922,0.0003617107089723959,2010
6451,8312,0.0003663978951635727,2010
2924,3216,0.0003790105798913146,2010
8241,9965,0.00038489887603532225,2010
5397,6712,0.0003999845023514581,2010
4813,8932,0.0004019079534032244,2010
1017,7843,0.0004181476548410501,2010
3082,3995,0.0004183349405195713,2010
1641,5862,0.00043371961973548423,2010
8521,9047,0.0004417364568496396,2010
3825,8293,0.00044377594682032395,2010
3781,6245,0.0004524782418968698,2010
